Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Bwd Packet Length Max,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Destination Port,Label
39422.890710440995,12.356036809030849,10.511355051482202,2840.4333223573412,5724.411337463058,1104.229060970822,1429.914568498296,1362.6072320165915,12.73713611325574,3869.9809907157487,22,NORMAL
56590.5434391342,10.239987565730747,9.33478887611567,2966.548572051599,4411.887953561907,1508.4367276555224,1138.4714131679889,1808.001272862955,12.100055619680571,6704.2723409605715,22,NORMAL
58271.15428565768,15.224150965860117,7.287166931954514,5579.509315637012,9511.523700462772,1396.0044428105723,1723.8384329109401,2363.2147276819715,13.40687319214929,5040.2348742563745,8080,NORMAL
38466.49489404041,9.098291828244253,9.149385987415199,5578.5925349153895,7032.048244822082,1494.4982762931156,1500.472700496632,1527.1473454991287,9.753058135433985,4367.6259052795585,53,NORMAL
35027.423548213555,11.265906464300372,7.507680351362957,3665.490927887872,5202.157147990825,1329.8444850850171,1168.6342590222362,2046.0015195192111,11.108415970670974,3225.3760166479333,80,NORMAL
46548.53118861973,11.218255329623286,4.928270658268979,5189.671543989336,8812.86277764949,1602.6548669055392,1379.7232858970376,1528.6817536681758,10.897079295034619,4873.667227231686,80,NORMAL
47231.86700111079,16.080451348127177,9.70187385555156,5762.832641674484,8823.29713032589,1430.784130533388,1370.3828735677089,1827.6213114536286,5.869414677194106,5770.241457785709,53,NORMAL
47097.254558113484,7.869953671325343,6.859206520806514,5264.022448996353,9692.826322318606,1607.098661739454,1505.8329374610075,1819.749868912439,11.416785889156913,5420.603814034854,80,NORMAL
53052.43126531353,11.215720076647436,9.34545395551338,4881.66098372559,11451.915943520735,1016.6412037221155,1396.9259640186538,2112.8925927233086,11.478254746066412,6385.598965046533,8080,NORMAL
37889.83800237543,14.14958354598803,12.158313396933607,3902.1237117453156,10355.436070781196,1033.7028791522903,939.1815402776501,1856.9635923495214,4.784981676057515,5895.461104389132,8080,NORMAL
55740.4193088403,12.259993515334635,6.706114360823667,4623.315846569235,9309.262034019002,1146.9051014301424,1474.649663082122,2460.601789500031,6.625218702439585,5934.5206434495785,443,NORMAL
55530.400858523586,6.825560706116765,10.251860661268113,4925.345928028576,4565.680719273586,1704.9741942518908,1287.9023038556998,2601.271734312444,10.65523115722592,4457.161621861519,80,NORMAL
61096.99841956223,10.019645973413617,9.87361135426612,4550.315876702681,8234.434512145875,1883.5444113502301,1146.1232860590094,1680.1992062567626,13.354147475955575,4081.5093582267295,8080,NORMAL
51786.94716810476,15.855787268552271,6.595872875289376,5201.519671148744,6989.004603479579,1466.358897769898,1106.3144809962314,2238.636645615417,8.952318962107368,4785.966225618222,22,NORMAL
78652.12023085963,8.681151540948981,8.605981713331458,4396.241631268873,8990.150357661736,1516.2209469636146,1318.563260009369,2202.2498023543994,7.026812898840024,5612.25060290725,8080,NORMAL
44404.53714710531,8.801725657041949,5.019300385078405,4308.403292096103,6376.655473196546,1384.2149378881343,1314.7320394481521,1579.3910583545257,12.766142621178199,4360.528168407345,53,NORMAL
37635.21713407651,13.250176430750056,5.69426759690576,5183.4965127026435,7136.3053123659165,1673.6149470756754,1208.8855953029993,2460.441554411931,5.706622744265317,4790.427290392002,53,NORMAL
49756.45407739017,6.893187831863817,8.960458523811406,5775.843947069925,9528.335595600965,1302.932854932914,1332.3499357153555,696.6000139128389,8.466968956109412,4361.6350228613765,8080,NORMAL
47188.74515111914,12.467026896062656,5.949060311203479,5955.9665262067465,9311.171213517302,1435.8759670743568,1100.5528667551935,1973.582782892982,11.984623888039359,4479.955231668964,22,NORMAL
40499.36502533873,9.579466210523968,6.142433260033167,6161.532901211637,10149.65049402642,1505.3180279478097,1482.5817339525922,1617.7436855231806,13.567313627888808,5670.586555474131,8080,NORMAL
53241.66352488442,7.524124117507407,6.100799511869992,5970.248514668156,6175.367505362723,1651.1508550081637,1690.377354063127,2258.840017949695,8.191462046767464,6231.893571543763,80,NORMAL
